image_id,expected_path,annotation_file
"284193,faa9000f2678b5e",/workspace/data/crowdhuman/Images/284193_faa9000f2678b5e.png,/workspace/data/crowdhuman/annotations_json/annotation_train/284193_faa9000f2678b5e.json
"273275,cd061000af95f691",/workspace/data/crowdhuman/Images/273275_cd061000af95f691.png,/workspace/data/crowdhuman/annotations_json/annotation_train/273275_cd061000af95f691.json
"273278,8d231000e09fc133",/workspace/data/crowdhuman/Images/273278_8d231000e09fc133.png,/workspace/data/crowdhuman/annotations_json/annotation_train/273278_8d231000e09fc133.json
"283554,2cd4d0007833968d",/workspace/data/crowdhuman/Images/283554_2cd4d0007833968d.png,/workspace/data/crowdhuman/annotations_json/annotation_train/283554_2cd4d0007833968d.json
"283554,37ba1000a6ca8c4d",/workspace/data/crowdhuman/Images/283554_37ba1000a6ca8c4d.png,/workspace/data/crowdhuman/annotations_json/annotation_train/283554_37ba1000a6ca8c4d.json
"273278,c70ac000e431e2c7",/workspace/data/crowdhuman/Images/273278_c70ac000e431e2c7.png,/workspace/data/crowdhuman/annotations_json/annotation_train/273278_c70ac000e431e2c7.json
"282555,55764000e90078a5",/workspace/data/crowdhuman/Images/282555_55764000e90078a5.png,/workspace/data/crowdhuman/annotations_json/annotation_train/282555_55764000e90078a5.json
"273278,e1b7e000c8170e05",/workspace/data/crowdhuman/Images/273278_e1b7e000c8170e05.png,/workspace/data/crowdhuman/annotations_json/annotation_train/273278_e1b7e000c8170e05.json
"273275,66624000c3de7f7d",/workspace/data/crowdhuman/Images/273275_66624000c3de7f7d.png,/workspace/data/crowdhuman/annotations_json/annotation_train/273275_66624000c3de7f7d.json
"283554,35288000868e92d4",/workspace/data/crowdhuman/Images/283554_35288000868e92d4.png,/workspace/data/crowdhuman/annotations_json/annotation_train/283554_35288000868e92d4.json
"273275,a6bc900004a5122b",/workspace/data/crowdhuman/Images/273275_a6bc900004a5122b.png,/workspace/data/crowdhuman/annotations_json/annotation_train/273275_a6bc900004a5122b.json
"273278,8bfa200051531e1d",/workspace/data/crowdhuman/Images/273278_8bfa200051531e1d.png,/workspace/data/crowdhuman/annotations_json/annotation_train/273278_8bfa200051531e1d.json
"273275,f73d8000feba4a38",/workspace/data/crowdhuman/Images/273275_f73d8000feba4a38.png,/workspace/data/crowdhuman/annotations_json/annotation_train/273275_f73d8000feba4a38.json
"284193,2ecc4000a822149a",/workspace/data/crowdhuman/Images/284193_2ecc4000a822149a.png,/workspace/data/crowdhuman/annotations_json/annotation_train/284193_2ecc4000a822149a.json
"273275,59b50000f22dfcf2",/workspace/data/crowdhuman/Images/273275_59b50000f22dfcf2.png,/workspace/data/crowdhuman/annotations_json/annotation_train/273275_59b50000f22dfcf2.json
"282555,12298d000f1e45cda",/workspace/data/crowdhuman/Images/282555_12298d000f1e45cda.png,/workspace/data/crowdhuman/annotations_json/annotation_train/282555_12298d000f1e45cda.json
"273278,cac480005a9d945f",/workspace/data/crowdhuman/Images/273278_cac480005a9d945f.png,/workspace/data/crowdhuman/annotations_json/annotation_train/273278_cac480005a9d945f.json
"283554,b59f00076f3fdfd",/workspace/data/crowdhuman/Images/283554_b59f00076f3fdfd.png,/workspace/data/crowdhuman/annotations_json/annotation_train/283554_b59f00076f3fdfd.json
"283554,1e6c0000fe110cec",/workspace/data/crowdhuman/Images/283554_1e6c0000fe110cec.png,/workspace/data/crowdhuman/annotations_json/annotation_train/283554_1e6c0000fe110cec.json
"283554,87660009f41cd87",/workspace/data/crowdhuman/Images/283554_87660009f41cd87.png,/workspace/data/crowdhuman/annotations_json/annotation_train/283554_87660009f41cd87.json
"273278,9830b0006e9ec689",/workspace/data/crowdhuman/Images/273278_9830b0006e9ec689.png,/workspace/data/crowdhuman/annotations_json/annotation_train/273278_9830b0006e9ec689.json
"273275,41aab0004d5de64a",/workspace/data/crowdhuman/Images/273275_41aab0004d5de64a.png,/workspace/data/crowdhuman/annotations_json/annotation_train/273275_41aab0004d5de64a.json
"273275,133120004209dac8",/workspace/data/crowdhuman/Images/273275_133120004209dac8.png,/workspace/data/crowdhuman/annotations_json/annotation_train/273275_133120004209dac8.json
"283647,171340005638f73d",/workspace/data/crowdhuman/Images/283647_171340005638f73d.png,/workspace/data/crowdhuman/annotations_json/annotation_train/283647_171340005638f73d.json
"273275,9f220000cda5d59b",/workspace/data/crowdhuman/Images/273275_9f220000cda5d59b.png,/workspace/data/crowdhuman/annotations_json/annotation_train/273275_9f220000cda5d59b.json
"283991,93e600010815b70",/workspace/data/crowdhuman/Images/283991_93e600010815b70.png,/workspace/data/crowdhuman/annotations_json/annotation_train/283991_93e600010815b70.json
"273275,3062b000c0966e90",/workspace/data/crowdhuman/Images/273275_3062b000c0966e90.png,/workspace/data/crowdhuman/annotations_json/annotation_train/273275_3062b000c0966e90.json
"283647,15c86000daeae00e",/workspace/data/crowdhuman/Images/283647_15c86000daeae00e.png,/workspace/data/crowdhuman/annotations_json/annotation_train/283647_15c86000daeae00e.json
"282555,c32930005d9f2426",/workspace/data/crowdhuman/Images/282555_c32930005d9f2426.png,/workspace/data/crowdhuman/annotations_json/annotation_train/282555_c32930005d9f2426.json
"283647,cbe6000ff3d35d7",/workspace/data/crowdhuman/Images/283647_cbe6000ff3d35d7.png,/workspace/data/crowdhuman/annotations_json/annotation_train/283647_cbe6000ff3d35d7.json
"273278,1380150006a00f9f8",/workspace/data/crowdhuman/Images/273278_1380150006a00f9f8.png,/workspace/data/crowdhuman/annotations_json/annotation_train/273278_1380150006a00f9f8.json
"273278,99bd6000957dfa91",/workspace/data/crowdhuman/Images/273278_99bd6000957dfa91.png,/workspace/data/crowdhuman/annotations_json/annotation_train/273278_99bd6000957dfa91.json
"273278,120815000f90fc1af",/workspace/data/crowdhuman/Images/273278_120815000f90fc1af.png,/workspace/data/crowdhuman/annotations_json/annotation_train/273278_120815000f90fc1af.json
"284193,2edf000bc719d37",/workspace/data/crowdhuman/Images/284193_2edf000bc719d37.png,/workspace/data/crowdhuman/annotations_json/annotation_train/284193_2edf000bc719d37.json
"283647,6a2000063d67b33",/workspace/data/crowdhuman/Images/283647_6a2000063d67b33.png,/workspace/data/crowdhuman/annotations_json/annotation_train/283647_6a2000063d67b33.json
"273278,b298d000f5dc867b",/workspace/data/crowdhuman/Images/273278_b298d000f5dc867b.png,/workspace/data/crowdhuman/annotations_json/annotation_train/273278_b298d000f5dc867b.json
"273278,52bf80006b8ea0e9",/workspace/data/crowdhuman/Images/273278_52bf80006b8ea0e9.png,/workspace/data/crowdhuman/annotations_json/annotation_train/273278_52bf80006b8ea0e9.json
"273278,80c240005fa21937",/workspace/data/crowdhuman/Images/273278_80c240005fa21937.png,/workspace/data/crowdhuman/annotations_json/annotation_train/273278_80c240005fa21937.json
"273275,1261d400069870e4b",/workspace/data/crowdhuman/Images/273275_1261d400069870e4b.png,/workspace/data/crowdhuman/annotations_json/annotation_train/273275_1261d400069870e4b.json
"283081,a91f000dea98df6",/workspace/data/crowdhuman/Images/283081_a91f000dea98df6.png,/workspace/data/crowdhuman/annotations_json/annotation_train/283081_a91f000dea98df6.json
"282555,dd705000ac040aaa",/workspace/data/crowdhuman/Images/282555_dd705000ac040aaa.png,/workspace/data/crowdhuman/annotations_json/annotation_train/282555_dd705000ac040aaa.json
"283554,2f3ed0002a687e4c",/workspace/data/crowdhuman/Images/283554_2f3ed0002a687e4c.png,/workspace/data/crowdhuman/annotations_json/annotation_train/283554_2f3ed0002a687e4c.json
"273278,6f7b600073fdf92c",/workspace/data/crowdhuman/Images/273278_6f7b600073fdf92c.png,/workspace/data/crowdhuman/annotations_json/annotation_train/273278_6f7b600073fdf92c.json
"283991,1ac8e00034947af1",/workspace/data/crowdhuman/Images/283991_1ac8e00034947af1.png,/workspace/data/crowdhuman/annotations_json/annotation_train/283991_1ac8e00034947af1.json
